gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
ZNF439,-0.721043971416337,2.65124000549417,-2.38223353536686,0.0235431960282326,0.94624455191332,-4.1028824047036,GSE7158,OP
LETM1,-0.513483263921664,5.59994289229277,-2.38172061697634,0.0235707832698288,0.94624455191332,-4.10311916424881,GSE7158,OP
SNHG1,-0.330196789874281,6.96726517203396,-2.38029399622998,0.0236476686249047,0.94624455191332,-4.10377756203444,GSE7158,OP
JAKMIP3,-0.581219350427733,2.04766303721284,-2.38005968480598,0.0236603182455549,0.94624455191332,-4.10388568183313,GSE7158,OP
LINC01858,-0.474682340206376,2.09807299934277,-2.37912982515017,0.0237105787025012,0.94624455191332,-4.10431470566028,GSE7158,OP
RIOX1,-0.277315064480123,6.37704983080259,-2.37811417807181,0.0237655870894882,0.94624455191332,-4.10478322437649,GSE7158,OP
OR4F3,0.652753313373642,4.16442844912267,2.37781635344995,0.0237817395469063,0.94624455191332,-4.10492059400792,GSE7158,OP
OASL,0.305642324537352,6.92106608903629,2.37552759565453,0.0239062035115115,0.94624455191332,-4.1059760095689,GSE7158,OP
GPC2,-0.501074551672325,5.12182181902708,-2.37538508821914,0.0239139727066809,0.94624455191332,-4.10604170890366,GSE7158,OP
BEX5,-0.508765095221528,2.59176172790869,-2.37354726167274,0.0240143729868529,0.94624455191332,-4.10688883136806,GSE7158,OP
LRFN3,0.881731948734111,2.32626728296176,2.37347518004143,0.0240183186000248,0.94624455191332,-4.10692205042884,GSE7158,OP
RBM48,-0.406959575080139,5.88271941474548,-2.37151400499088,0.024125896111515,0.94624455191332,-4.10782568935708,GSE7158,OP
LOC101928401,-0.696334837770877,2.2740524331341,-2.37148767146096,0.0241273435765673,0.94624455191332,-4.10783782059991,GSE7158,OP
ZNF296,-0.727030941612475,4.74430583746946,-2.3710429001817,0.0241518030811806,0.94624455191332,-4.10804270713215,GSE7158,OP
LOC102723704,-0.765729334798305,3.73817290077296,-2.3699450611677,0.0242122735595941,0.94624455191332,-4.10854835864259,GSE7158,OP
OVOL3,0.385127112291961,2.26740330338779,2.36875132949414,0.0242781821118046,0.94624455191332,-4.10909805661821,GSE7158,OP
DNAJB2,0.710852749362065,4.75965264314379,2.36811386543079,0.0243134446650791,0.94624455191332,-4.10939154906767,GSE7158,OP
REC8,0.345669708881904,5.57839188565033,2.3672366204058,0.0243620472795427,0.94624455191332,-4.10979537949779,GSE7158,OP
PLCB1,0.363559204789986,6.23235964341913,2.36714367610239,0.0243672019075142,0.94624455191332,-4.10983816143641,GSE7158,OP
ZNF783,0.412214282504912,5.55015847581605,2.36692352263396,0.0243794154244161,0.94624455191332,-4.10993949426296,GSE7158,OP
ALG10,-0.862765198823531,3.25642182985176,-2.36652517320254,0.024401528912299,0.94624455191332,-4.11012283670951,GSE7158,OP
BATF3,-0.328741420364282,5.95584765276684,-2.36635545645039,0.0244109558992109,0.94624455191332,-4.11020094548414,GSE7158,OP
IKBKE,0.24143441496067,6.44684077094145,2.36476777539365,0.0244993047378188,0.94624455191332,-4.11093152074941,GSE7158,OP
ANO8,0.343164909759596,5.6163009624775,2.36405705937408,0.0245389476386105,0.94624455191332,-4.11125848606854,GSE7158,OP
TPD52,-0.540394861612161,5.84845163848244,-2.36369668085949,0.0245590713898307,0.94624455191332,-4.11142426129638,GSE7158,OP
TLR8-AS1,0.718708163498861,3.34340473101979,2.35914664209217,0.0248144411941725,0.94624455191332,-4.11351630028882,GSE7158,OP
EPS8L3,-0.398516045235041,4.92199501373906,-2.35468451147319,0.025067217171835,0.94624455191332,-4.11556612728481,GSE7158,OP
PICALM,0.174529899703561,9.51070238961004,2.35397749987849,0.0251074826714369,0.94624455191332,-4.11589075285661,GSE7158,OP
ZNF32-AS3,-0.78889783221394,2.68175733617799,-2.35377714462486,0.0251189039131408,0.94624455191332,-4.11598273815969,GSE7158,OP
C16orf82,-0.691458072174616,2.86499541067232,-2.35356292220596,0.0251311208694084,0.94624455191332,-4.11608108604737,GSE7158,OP
CNTNAP3P2,-0.70944029586241,2.99369155374835,-2.35167328849439,0.0252391192402549,0.94624455191332,-4.11694842408014,GSE7158,OP
